level_0,index,ds,BNB_USDT_1h_open,BNB_USDT_1h_high,BNB_USDT_1h_low,BNB_USDT_1h_close,BNB_USDT_1h_volume,BTC_USDT_1h_open,BTC_USDT_1h_high,BTC_USDT_1h_low,BTC_USDT_1h_close,BTC_USDT_1h_volume,DOGE_USDT_1h_open,DOGE_USDT_1h_high,DOGE_USDT_1h_low,DOGE_USDT_1h_close,DOGE_USDT_1h_volume,ETH_USDT_1h_open,ETH_USDT_1h_high,ETH_USDT_1h_low,ETH_USDT_1h_close,ETH_USDT_1h_volume,SOL_USDT_1h_open,SOL_USDT_1h_high,SOL_USDT_1h_low,SOL_USDT_1h_close,SOL_USDT_1h_volume,XRP_USDT_1h_open,XRP_USDT_1h_high,XRP_USDT_1h_low,XRP_USDT_1h_close,XRP_USDT_1h_volume
0,0,2023-04-09,310.5739,313.9262,309.5146,312.8126,1626.01,27943.39,28526.16,27800.52,28320.0,2004.141351,0.08134,0.08388,0.08108,0.08321,79644467.9,1848.96,1873.29,1823.87,1858.74,41986.62306,20.03,20.45,19.87,20.29,122524.549,0.5051,0.5092,0.4984,0.5056,21654357.34
1,1,2023-04-10,312.8126,318.4849,311.6762,318.4761,4260.433,28320.0,29783.39,28163.59,29639.2,6280.126642,0.08321,0.08602,0.08221,0.08473,119680450.0,1858.74,1918.71,1846.89,1910.19,51601.51764,20.29,20.95,20.07,20.9,185974.495,0.5056,0.5199,0.5001,0.5176,33033309.39
2,2,2023-04-11,318.4761,333.0955,317.8352,322.3028,9718.37136,29639.2,30558.0,29594.01,30201.23,6080.401,0.08473,0.08575,0.08362,0.08411,95126813.2,1910.19,1937.21,1881.84,1889.98,46689.82127,20.9,23.68,20.82,22.98,815079.128,0.5176,0.5282,0.5111,0.5165,44060049.62
3,3,2023-04-12,322.3028,323.3928,316.8132,319.8821,3691.9096,30201.23,30483.05,29650.0,29883.65,4722.994727,0.08411,0.08472,0.08044,0.08334,144360734.2,1889.98,1932.59,1853.55,1917.38,77849.77289000001,22.98,24.47,22.31,23.8,1006047.047,0.5165,0.5178,0.4985,0.5049,43731440.769999996
4,4,2023-04-13,319.8821,330.0,317.8346,324.6597,5641.0491999999995,29883.65,30580.56,29854.58,30374.7,3436.316231,0.08334,0.08888,0.08285,0.08733,149385872.8,1917.38,2022.24,1899.51,2011.79,87347.96698,23.8,25.27,23.64,24.42,597424.867,0.5049,0.5153,0.5015,0.5123,37401565.15
5,5,2023-04-14,324.6597,335.2999,323.2142,328.8942,7990.415840000001,30374.7,31019.6,29979.39,30459.0,5784.024824,0.08733,0.09136,0.08526,0.08869,225205210.4,2011.79,2128.59,2009.3,2099.6,136333.45066,24.42,25.49,23.74,24.72,650459.851,0.5123,0.5465,0.5111,0.5226,76264215.83
6,6,2023-04-15,328.8942,336.0,326.7464,333.0455,6458.29369,30459.0,30600.0,30207.0,30293.71,1426.512507,0.08869,0.09058,0.08717,0.08888,93763621.10000001,2099.6,2110.72,2071.49,2090.79,43662.93204,24.72,24.79,23.81,24.05,277482.179,0.5226,0.5261,0.5165,0.5193,32323210.03
7,7,2023-04-16,333.0455,350.0,330.1126,347.6853,10232.16568,30293.71,30549.04,30122.74,30309.89,1923.533,0.08888,0.0918,0.08767,0.09042,134174199.7,2090.79,2142.71,2072.87,2118.8,51492.26858,24.05,25.51,23.82,25.35,337493.49100000004,0.5193,0.5244,0.5155,0.5208,24224840.71
8,8,2023-04-17,347.6853,349.9918,337.5977,339.9031,6998.16364,30309.89,30315.82,29238.51,29430.0,4120.957998,0.09042,0.09489,0.08809,0.09137,277042613.2,2118.8,2120.07,2056.78,2074.48,56593.683489999996,25.35,26.01,24.3,24.57,581344.2930000001,0.5208,0.5209,0.5058,0.5108,39090334.24
9,9,2023-04-18,339.9031,346.5,337.0566,342.9739,8126.34603,29430.0,30480.0,29101.0,30380.3,5081.880679,0.09137,0.09504,0.08977,0.0941,150715477.7,2074.48,2125.2,2051.0,2103.6,52397.2424,24.57,25.44,23.99,24.83,335718.542,0.5108,0.539,0.509,0.5322,39284476.35
